publishedAt,authorDisplayName,textDisplay,likeCount,Channel
2024-10-06T16:50:57Z,@asunsupandi415,"Media kompas tidak bisa berbohong bahwa mereka mematikan voice nya beberapa detik/menit,, hayoo ada apa di balik mematikan/mute voice tsb ttg apa yg pak dharma sampai kan🤣🤭",14,Kompas TV
2024-10-06T20:49:43Z,@agungwaluyojati5264,Menit berapa?,0,Kompas TV
2024-10-07T01:26:35Z,@asunsupandi415,"@@agungwaluyojati5264 <a href=""https://www.youtube.com/watch?v=tQyebvnsa04&amp;t=21070"">5:51:10</a>",0,Kompas TV
2024-10-07T03:35:46Z,@gembelelit9197,Gk ada yg di matikan,0,Kompas TV
2024-10-06T16:44:58Z,@LanangJagad-d2r,No. 3. 🎉,3,Kompas TV
2024-10-06T16:43:35Z,@fandygerungan3827,PramDoel 🔥🔥🔥,3,Kompas TV
2024-10-06T16:39:24Z,@alexiasmith6120,03,2,Kompas TV
2024-10-06T16:35:45Z,@VEEASBETA,Stand up whatever 😂,0,Kompas TV
2024-10-06T16:34:20Z,@sugionosuwiryo4292,Mas Pram bang dul yg paling pantas pimpin jakarta,15,Kompas TV
2024-10-06T16:34:08Z,@sugi_rich,Pilih salah 1 aja. Bram- Rano Karno atau Dharma-Kun,7,Kompas TV
2024-10-06T16:29:03Z,@Emery18,"No 2, independen sangat bisa di percaya",17,Kompas TV
2024-10-06T17:28:08Z,@HilariusGu-zf5uw,Emery.mimpi kli ye.aku yakin Paslon no 2 ngga bakalan menang😂🤣,0,Kompas TV
2024-10-06T18:19:11Z,@jasmanparmadi7501,No 2 Paslon paling parah...,0,Kompas TV
2024-10-06T18:35:18Z,@HilariusGu-zf5uw,@@Emery18 ujung2 nya.ngga bakalan menang.aku yakin itu😂🤣,0,Kompas TV
2024-10-06T16:25:40Z,@bertrandventrescaondy6444,"Si rano masa depannya ya sama dengan si ganjar ,sifatnya sama aja koq tinggi hati😂",2,Kompas TV
2024-10-06T16:24:11Z,@AndriPratama-l3b,"Gagasan dan visi misi yg bagus hanya pada pasangan Rido,,,pilih nomer 1 saya pasti.",5,Kompas TV
2024-10-06T16:44:03Z,@pengelana_tv,ogah dukung penghina jakarta,2,Kompas TV
2024-10-06T16:22:39Z,@auratriyadi4966,Buat pr balon semua tolong bikin peraturan masa jabatan rt rw,2,Kompas TV
2024-10-06T16:21:44Z,@auratriyadi4966,Masa jabatan rt rw biar ada batasnya biarada bergantian,2,Kompas TV
2024-10-06T16:21:42Z,@eenaza2879,"03,,Mas Pram&amp;bang Doel",23,Kompas TV
2024-10-06T16:20:52Z,@auratriyadi4966,Debatnya baik tp jabatan rt rw tolong ada bahasan biar dua priode ajah biar ada pergantian,4,Kompas TV
2024-10-06T17:10:07Z,@ladylibra784,Betul pa 2 periode saja 👍🏼👍🏼,0,Kompas TV
